Drug,Country,Total_Observed,Total_Predicted
Levofloxacin_I,Spain,7188,7188.0000000001755
Levofloxacin_I,Sweden,193,193.00000000000233
Levofloxacin_I,Switzerland,446,446.00000000000296
Levofloxacin_I,Taiwan,1561,1561.0000000000161
Levofloxacin_I,Thailand,1823,1823.000000000014
Levofloxacin_I,Turkey,1424,1424.0000000000148
Levofloxacin_I,Ukraine,180,180.00000000000003
Levofloxacin_I,United Kingdom,1370,1370.0000000000118
Levofloxacin_I,United States,14035,14035.000000000162
Levofloxacin_I,Venezuela,1458,1458.0000000000114
Levofloxacin_I,Vietnam,74,74.00000000000081
Linezolid_I,Argentina,1,0.9999999999999972
Linezolid_I,Austria,1,0.9999999999999999
Linezolid_I,Belgium,2,2.0000000000000013
Linezolid_I,Brazil,3,3.0000000000000004
Linezolid_I,Canada,1,1.0000000000000004
Linezolid_I,Chile,1,1.0000000000000004
Linezolid_I,China,6,6
Linezolid_I,Colombia,2,2.000000000000001
Linezolid_I,Croatia,2,1.9999999999999996
Linezolid_I,France,18,17.999999999999993
Linezolid_I,Germany,13,13.00000000000001
Linezolid_I,Greece,7,6.999999999999996
Linezolid_I,Hungary,1,1
Linezolid_I,India,3,3.000000000000002
Linezolid_I,Ireland,1,1.0000000000000016
Linezolid_I,Italy,14,14.000000000000004
Linezolid_I,Kuwait,1,1
Linezolid_I,Malaysia,1,0.9999999999999999
Linezolid_I,Mexico,3,3
Linezolid_I,Netherlands,1,1.0000000000000027
Linezolid_I,Panama,1,0.9999999999999991
Linezolid_I,Philippines,2,2.000000000000005
Linezolid_I,Poland,3,3.000000000000001
Linezolid_I,Portugal,3,3.000000000000001
Linezolid_I,Romania,4,4
